_uid_,nom_fr,element,lng_target,lat_target,lng_source,lat_source
"1",(siège du phaiduntês) de Zeus de Pisa,Pisa,"23.7263452","37.9751765","21.6308748","37.6386894"
"2",(phaiduntês) de Zeus à Olympie,Olympie,"23.7263452","37.9751765","21.6308748","37.6386894"
"3",(phaiduntês) de Zeus à Olympie,Olympie,"23.7263452","37.9751765","21.6308748","37.6386894"
"8",Phœbus (...) qui réside à Delphes,Delphes,"23.7263452","37.9751765","22.501169","38.482289"
"9",à Apollon Pythien,Pythien,"23.7263452","37.9751765","22.501169","38.482289"
"10",à Apollon Pythien,De Pythô (i.e. Delphes),"23.7263452","37.9751765","22.501169","38.482289"
"20",(prêtre) de Zeus au Palladion,Palladion,"23.537401","38.041101","23.7263452","37.9751765"
"23",(procession) pour Artémis à Mounychie,De Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"24",(procession) pour Artémis à Mounychie,Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"25",(fonds) d'Artémis à Mounichie,De Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"26",(fonds) d'Artémis à Mounichie,Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"27",(fonds) d'Artémis à Mounichie,De Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"28",(fonds) d'Artémis à Mounichie,Mounychie,"23.7263452","37.9751765","23.6450325","37.9377025"
"29",(prêtresse) de Déméter et Korè d'Eleusis,"Eleusinien, D'Eleusis","22.501169","38.482289","23.537401","38.041101"
"30",Nannay de l’escalier de Hatra,Hatra,"42.7139266","35.5866448","42.718342","35.587884"
"31","Nannay, la plus haut placée de Hatra",Hatra,"42.7139266","35.5866448","42.718342","35.587884"
"155",Poséidon du Sounion,(Cap) Sounion,"23.7263452","37.9751765","24.025593","37.650437"
"156",à Poséidon du Sounion,(Cap) Sounion,"23.7263452","37.9751765","24.025593","37.650437"
"157",(biens) de Poséidon du Sounion,(Cap) Sounion,"23.7263452","37.9751765","24.025593","37.650437"
"158",(fonds) de Poséidon au Sounion,(Cap) Sounion,"23.7263452","37.9751765","24.025593","37.650437"
"159",(fonds) de Poséidon au Sounion,(Cap) Sounion,"23.7263452","37.9751765","24.025593","37.650437"
"160",(banquette pour les 2 arrhéphores) d'Ilithye à Agrai,Agrai,"23.7263452","37.9751765","23.742903","37.965297"
"212",(terre) des dieux à Samothrace,Samothrace,"26.0572495","40.858827","25.582","40.453"
"213",(couronne) des dieux de Samothrace,Samothrace,"28.1629075","43.417781","25.582","40.453"
"214",(prêtrise) des Dieux Mystes qui (sont) à Samothrace,Samothrace,"28.6497375","44.1728565","25.582","40.453"
"216",pour les Dieux à Samothrace,Samothrace,"28.227611","36.443113","25.582","40.453"
"217",aux dieux qui (sont) à Samothrace,Samothrace,"28.227611","36.443113","25.582","40.453"
"218",aux dieux à Samothrace,Samothrace,"28.0882029","36.0912206","25.582","40.453"
"221",(néocore) d'Artémis d’Éphèse,Éphèse,"27.298333","37.66","27.340307","37.9407625"
"222",à Artémis d'Éphèse et à l'Empereur Nerva Trajan César Auguste Germanicus,"Ephésien, D'Ephèse","27.339722","37.941944","27.340307","37.9407625"
"223",à Artémis d'Ephèse et à la tribu Sebastè,"Ephésien, D'Ephèse","27.339722","37.941944","27.340307","37.9407625"
"244",(Sarapis) ... à Canope,Canope,"23.7263452","37.9751765","30.0580595","31.313404"
"252",(fonds) d'Athéna epi Pallênidi,Pallênis,"23.7263452","37.9751765","23.8490205","38.0183985"
"253",(fonds) d'Athéna epi Pallênidi,De Pallène,"23.7263452","37.9751765","23.8490205","38.0183985"
"254",(fonds) d'Athéna epi Pallênidi,Pallênis,"23.7263452","37.9751765","23.8490205","38.0183985"
"255",(fonds) d'Athéna epi Pallênidi,De Pallène,"23.7263452","37.9751765","23.8490205","38.0183985"
"260",Atargatis de Menbidj,Menbidj (Hierapolis),"35.4268727","30.3369374","37.9555335","36.526222"
"261","(Pour) l'oint qui est à Bosra, dieu de Rabbel",Bosra,"37.9787891","26.8094974","36.48369","32.517831"
"262","(Pour) Aara qui est à Bosra, dieu  de Rabbel",Bosra,"37.9787891","26.8094974","36.48369","32.517831"
"265",Le bétyle de celui/de celle qui est à Bosra,Bosra,"35.4363789","30.3362202","36.48369","32.517831"
"266",Le bétyle de Bosra,Bosra,"35.4363789","30.3362202","36.48369","32.517831"
"267",Allat la déesse qui est à Bosra,Bosra,"35.4112976","29.5658193","36.48369","32.517831"
